Assertions,ArgPos,msg param
assertEqual,3,msg=
assertNotEqual,3,msg=
assertTrue,2,msg=
assertFalse,2,msg=
assertIs,3,msg=
assertIsNot,3,msg=
assertIsNone,2,msg=
assertIsNotNone,2,msg=
assertIn,3,msg=
assertNotIn,3,msg=
assertIsInstance,3,msg=
assertNotIsInstance,3,msg=
assertRaises,-1,msg=
assertRaisesRegex,-1,msg=
assertWarns,-1,msg=
assertWarnsRegex,-1,msg=
assertAlmostEqual,-1,msg=
assertNotAlmostEqual,-1,msg=
assertGreater,3,msg=
assertGreaterEqual,3,msg=
assertLess,3,msg=
assertLessEqual,3,msg=
assertRegex,3,msg=
assertNotRegex,3,msg=
assertCountEqual,3,msg=
assertMultiLineEqual,3,msg=
assertSequenceEqual,-1,msg=
assertListEqual,3,msg=
assertTupleEqual,3,msg=
assertSetEqual,3,msg=
assertDictEqual,3,msg=
